Model,Class,Precision,Recall,F1,G_mean,AUC,Support
LR,0,0.2857142857142857,0.6666666666666666,0.4,0.7929614610987591,0.862689393939394,6
LR,1,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.38429067760552654,0.6521624472573839,24
LR,2,0.23076923076923078,0.3,0.2608695652173913,0.5315619808967565,0.8255813953488372,10
LR,3,0.8582677165354331,0.7956204379562044,0.8257575757575758,0.6909213144589785,0.7769667477696675,137
LR,4,0.0,0.0,0.0,0.0,0.9016949152542374,5
DT,0,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.5690901829794961,0.7173295454545455,6
DT,1,0.36585365853658536,0.625,0.4615384615384615,0.7226007879418463,0.7759757383966245,24
DT,2,0.23076923076923078,0.3,0.2608695652173913,0.5315619808967565,0.7404069767441861,10
DT,3,0.8974358974358975,0.7664233576642335,0.8267716535433071,0.7496958020560326,0.8284671532846715,137
DT,4,0.25,0.2,0.22222222222222224,0.4434074531303296,0.5898305084745763,5
RF,0,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8971757032065918,0.9772727272727272,6
RF,1,0.4166666666666667,0.20833333333333334,0.2777777777777778,0.44621001280498646,0.7410337552742615,24
RF,2,0.26666666666666666,0.4,0.32,0.6118975442434483,0.8837209302325582,10
RF,3,0.852112676056338,0.8832116788321168,0.8673835125448027,0.6863280765861632,0.8139497161394971,137
RF,4,0.5,0.2,0.28571428571428575,0.4459484908564835,0.8542372881355932,5
XGB,0,0.5,0.6666666666666666,0.5714285714285715,0.8071648849616486,0.9820075757575758,6
XGB,1,0.6,0.5,0.5454545454545454,0.688972818261938,0.8238396624472575,24
XGB,2,0.2,0.1,0.13333333333333333,0.3125290684154854,0.8348837209302326,10
XGB,3,0.8590604026845637,0.9343065693430657,0.8951048951048951,0.7059014357422488,0.8480129764801297,137
XGB,4,0.0,0.0,0.0,0.0,0.7909604519774012,5
SVM,0,0.25,0.5,0.3333333333333333,0.6887901118496245,0.9337121212121212,6
SVM,1,0.375,0.25,0.3,0.4839186038889943,0.7107067510548523,24
SVM,2,0.16666666666666666,0.2,0.1818181818181818,0.4340185399533709,0.8261627906976745,10
SVM,3,0.85,0.8686131386861314,0.8592057761732852,0.6806323094245552,0.7948094079480941,137
SVM,4,0.5,0.2,0.28571428571428575,0.4459484908564835,0.7887005649717516,5
